id,Phrase,Anchor_or_Target
196,disperse_in_plastic_material,anchor
197,dispersed_powder,anchor
198,displacement_mechanism,anchor
199,display_different_pictures,anchor
200,display_object,anchor
201,dissolve_in_addition,anchor
202,dissolve_in_glycol,anchor
203,dissolve_in_solvent_system,anchor
204,dissolving,anchor
205,distributor_pipe,anchor
206,dna_strand,anchor
207,donor_plasmid,anchor
208,double_planetary_gear,anchor
209,drainage,anchor
210,drive_balls,anchor
211,dry_coating_composition1,anchor
212,dry_corn,anchor
213,dual_clutch,anchor
214,duplex_device,anchor
215,ecn,anchor
216,effective_storage,anchor
217,el_display,anchor
218,elastic_assembly,anchor
219,elastic_repulsive,anchor
220,electric_field_intensities,anchor
221,electric_starter,anchor
222,electrical_current_distribution,anchor
223,electromagnetic_input,anchor
224,electromagnetic_radiation_source,anchor
225,elevation_view,anchor
226,embedding_groove,anchor
227,embossing_portion,anchor
228,encapsulated_pigment,anchor
229,enclose_with_openings,anchor
230,encode_form,anchor
231,end_of_bars,anchor
232,end_pins,anchor
233,energy_storage_spring,anchor
234,engage_clamp,anchor
235,engage_in_guide_slot,anchor
236,equip_with_blocks,anchor
237,equipment_unit,anchor
238,equivalent_molar,anchor
239,estimated_amount,anchor
240,exclusion_limit,anchor
241,exhibit_symmetry,anchor
242,exit_electrode,anchor
243,expandable_intraluminal,anchor
244,expandable_scaffold,anchor
245,extend_areas,anchor
246,extend_arrangement,anchor
247,extend_from_groove_bottom,anchor
248,external_boundary,anchor
249,extracting_process,anchor
250,extraction_location,anchor
251,fall_to_low_value,anchor
252,fan,anchor
253,fan_rotation_speed,anchor
254,faucet_assembly,anchor
255,fdi,anchor
256,feed_control_valve,anchor
257,fence_post,anchor
258,fiber_slack,anchor
259,fidelity,anchor
260,filled_interior,anchor
261,final_roll,anchor
262,finger_actuator,anchor
263,fire_cartridges,anchor
264,fire_ring,anchor
265,fit_within_perimeter,anchor
266,flexible_belt,anchor
267,flexible_glass_substrate,anchor
268,flexible_membrane,anchor
269,flexible_shunt,anchor
270,flow_openings,anchor
271,fluid_flow_source,anchor
272,fluorinated_olefin,anchor
273,flux_regulator,anchor
274,foot_side,anchor
275,form_as_body,anchor
276,form_between_direction,anchor
277,form_by_electroforming,anchor
278,form_cutter,anchor
279,form_rivets,anchor
280,form_tables,anchor
281,form_trench_isolation,anchor
282,fountain_head,anchor
283,fractionate_portion,anchor
284,frame_handle,anchor
285,free_diameter,anchor
286,free_fatty_acid,anchor
287,friction_lock,anchor
288,ftir_spectrometer,anchor
289,further_additional_elements,anchor
290,fused_layer,anchor
291,gas_leak,anchor
292,gasoline_blend,anchor
293,gate_insulator_film,anchor
294,gate_location,anchor
295,general_anesthesia,anchor
296,generate_control_signal,anchor
297,generate_in_layer,anchor
298,generated_electrical_power,anchor
299,glass_part,anchor
300,glycitin,anchor
301,gnd,anchor
302,gold_alloy,anchor
303,gripping_layer,anchor
304,guided_projectiles,anchor
305,guiding_elements,anchor
306,gutter_hanger,anchor
307,gutters,anchor
308,halocarbyl,anchor
309,hanging_ring,anchor
310,hardware_blocks,anchor
311,hear_aid_parameters,anchor
312,heart_pacemaker,anchor
313,heighth,anchor
314,helicase_activity,anchor
315,her2_targeted,anchor
316,herpes,anchor
317,hexahydro,anchor
318,high_frequency_welding,anchor
319,high_gradient_magnetic_separators,anchor
320,hinge_mechanisms,anchor
321,hot_heat_transfer,anchor
322,hrb,anchor
323,hybrid_bearing,anchor
324,hybrid_system,anchor
325,hydrocarbyl_substituted_succinic,anchor
326,idle_mixture,anchor
327,illumination_condition,anchor
328,image_signal_generation,anchor
329,imaging_axis,anchor
330,imidazo,anchor
331,implant_pellets,anchor
332,implement_with_plurality,anchor
333,include_contact_switch,anchor
334,include_displacement,anchor
335,include_retaining_elements,anchor
336,increase_hardness,anchor
337,index_with_location,anchor
338,indoor_room,anchor
339,inflow_channels,anchor
340,ingress_buffer,anchor
341,inner_closed,anchor
342,inner_contact,anchor
343,inner_fluid_conduit,anchor
344,inner_peripheral,anchor
345,inorganic_hybrid,anchor
346,insert_into_trachea,anchor
347,insert_nucleic_acid,anchor
348,insertion_losses,anchor
349,instruction_processing,anchor
350,insulation_sleeve,anchor
351,interconnect_site,anchor
352,interconnected_levers,anchor
353,interlock_section,anchor
354,intermediate_connection,anchor
355,intermediate_speed,anchor
356,intruder_detection,anchor
357,invertebrate,anchor
358,involve_etherification,anchor
359,inward_travel,anchor
360,issued_patent,anchor
361,kalanchoe_plant,anchor
362,key_arm,anchor
363,key_recesses,anchor
364,killed,anchor
365,kraft_cooking,anchor
366,labeled_ligand,anchor
367,laminated_wall,anchor
368,lamination_method,anchor
369,laser_beam_optical,anchor
370,lateral_power,anchor
371,length_light,anchor
372,leveller,anchor
373,life_testing,anchor
374,lift_element,anchor
375,lifting_finger,anchor
376,lifting_load,anchor
377,light_sensitive_composition,anchor
378,ligninases,anchor
379,linear_change,anchor
380,linear_systems,anchor
381,liquid_reservoirs,anchor
382,load_distribution_system,anchor
383,locking_formation,anchor
384,loudspeaker_arrays,anchor
385,low_soc,anchor
386,lower_stretches,anchor
387,lower_trunnion,anchor
388,machine_end,anchor
389,magnetically_actuated,anchor
390,main_lane,anchor
391,main_linear,anchor
392,main_pulse_laser,anchor
393,maintain_oxygen_level,anchor
394,make_of_high_density_polyethylene,anchor
395,make_of_slabs,anchor
396,maleic_anhydride_grafted,anchor
397,map_display_system,anchor
398,mat_forming,anchor
399,mat_sections,anchor
400,material_formation,anchor
401,material_item,anchor
402,materially_less,anchor
403,mayenite,anchor
404,measure_by_probe,anchor
405,measure_surface_temperature,anchor
406,medical_product,anchor
407,melanocyte,anchor
408,melodies,anchor
409,melt_coating,anchor
410,membrane_vesicle,anchor
411,mentioned_conveyor,anchor
412,metal_phase,anchor
413,metallic_binder,anchor
414,metallic_cartridges,anchor
415,metastatic_bone_disease,anchor
416,metatarsal_bones,anchor
417,methoxyethylamine,anchor
418,microchambers,anchor
419,modify_before_use,anchor
420,moisture_absorption_rate,anchor
421,moisture_proof_film,anchor
422,monocrystalline_semiconductor,anchor
423,morpholin,anchor
424,mount_on_cylinders,anchor
425,move_to_range,anchor
426,move_towards_left,anchor
427,movement_directions,anchor
428,multiplexed_data,anchor
429,nail_strip,anchor
430,negative_collector,anchor
431,network_load_information,anchor
432,neural_stimulation,anchor
433,new_freely_flowering,anchor
434,non_lamellar,anchor
435,non_polar_carrier,anchor
436,noncollinear,anchor
437,normal_base,anchor
438,notch_base,anchor
439,nozzle_receptacle,anchor
440,nvm_array,anchor
441,obstacle_course,anchor
442,obtain_from_fractions,anchor
443,offset_table,anchor
444,oil_tankers,anchor
445,olefin_production,anchor
446,opaque_walls,anchor
447,opc_drum,anchor
448,opening_assembly,anchor
449,operate_by_vacuum,anchor
450,operate_internal_combustion_engine,anchor
451,operating_channel,anchor
452,operational_height,anchor
453,operator_identification_information,anchor
454,opposing_walls,anchor
455,optical_glasses,anchor
456,optimal_quantity,anchor
457,organic_alkaline,anchor
458,organic_starting,anchor
459,orthogonal_acceleration,anchor
460,outer_bar,anchor
461,outer_cylindrical_electrode,anchor
462,output_center,anchor
463,oven_batteries,anchor
464,overall_condition,anchor
465,overall_weight,anchor
466,overflow_compartment,anchor
467,overflow_device,anchor
468,oxidizing_enzyme,anchor
469,oxygen_carrier,anchor
470,oxygen_lean,anchor
471,oxygen_value,anchor
472,package_member,anchor
473,page_file,anchor
474,panel_frame,anchor
475,paraboloid,anchor
476,parallel_force,anchor
477,parallel_orientation,anchor
478,partial_elliptical,anchor
479,particular_operational,anchor
480,pen_based_computer,anchor
481,pendent,anchor
482,peptide_precursor,anchor
483,perfluoroalkyl_group,anchor
484,perform_desired_action,anchor
485,perform_working_operations,anchor
486,peripheral_nervous_system_stimulation,anchor
487,personage,anchor
488,photocleavable_linker,anchor
489,photodefinable,anchor
490,physical_transport_medium,anchor
491,pick_element,anchor
492,pictorial_image,anchor
493,pillaring,anchor
494,pipe_box,anchor
495,place_to_set,anchor
496,planar_gear_sets,anchor
497,plug_nozzle,anchor
498,ply_tire,anchor
499,pneumatic_logic,anchor
500,polls,anchor
501,polyglycolic_acid,anchor
502,polymeric_ester,anchor
503,portable_radio_communication,anchor
504,position_enclosure,anchor
505,positioning_sheet,anchor
506,post_hole_diggers,anchor
507,power_conversion_control,anchor
508,pre_established_parameters,anchor
509,pre_trip,anchor
510,predetermined_acceleration,anchor
511,predetermined_relatively,anchor
512,preliminary_dispersion,anchor
513,preregistration,anchor
514,pressing_state,anchor
515,pressure_detection,anchor
516,pressure_failure,anchor
517,pressure_signal,anchor
518,presynaptic,anchor
519,prevent_accidental_separation,anchor
520,previous_batch,anchor
521,previously_captured_image,anchor
522,produce_by_pump,anchor
523,produce_by_recombinant_dna_technology,anchor
524,produce_liquid_hydrocarbons,anchor
525,produce_thin_layers,anchor
526,project_onto_surface,anchor
527,projection_method,anchor
528,prolog,anchor
529,prolong_span,anchor
530,proper_order,anchor
531,propyl_bromide,anchor
532,protocol_component,anchor
533,protograph,anchor
534,provide_acknowledgement,anchor
535,provide_by_terminals,anchor
536,provide_car,anchor
537,provide_for_tuning,anchor
538,provide_in_amounts,anchor
539,provide_restoring_force,anchor
540,provider_networks,anchor
541,psd_functions,anchor
542,pulping_apparatus,anchor
543,pulse_width_modulated_control,anchor
544,pulsed_plasma,anchor
545,pulverulent_material,anchor
546,punch_face,anchor
547,pushing_pin,anchor
548,radio_wave_transmission,anchor
549,rear_adjustment,anchor
550,receive_acceleration,anchor
551,receive_via_surface,anchor
552,receiver_shaft,anchor
553,recover_from_reaction_product,anchor
554,reduction_factor,anchor
555,reflect_by_reflection_mirror,anchor
556,reflection_type_liquid_crystal_display,anchor
557,regeneration_agent,anchor
558,register_digital_converter,anchor
559,registration_hole,anchor
560,relational_formula,anchor
561,remain_below_threshold_value,anchor
562,remaining_legs,anchor
563,renewable_power,anchor
564,request_buffer,anchor
565,resilient_metal,anchor
566,resilient_spring_clip,anchor
567,respective_emitter,anchor
568,retainer_bolts,anchor
569,retaining_insert,anchor
570,retinal_tissue,anchor
571,retorting_process,anchor
572,return_structure,anchor
573,rhodium_carbonyl,anchor
574,rizatriptan,anchor
575,rna_seq,anchor
576,rocker_lever,anchor
577,roll_on_workpiece,anchor
578,rotary_electric,anchor
579,rotary_section,anchor
580,rotatable_chamber,anchor
581,rotate_on_its_longitudinal_axis,anchor
582,rotation_protrusion,anchor
583,rotor_stages,anchor
584,run_during_interval,anchor
585,running_tally,anchor
586,salina,anchor
587,sand_formation,anchor
588,saturated_felt,anchor
589,saw_sensor,anchor
590,sawtooth_waves,anchor
591,scorch,anchor
592,scratch_coating,anchor
593,seal_members,anchor
594,seal_teeth,anchor
595,sealable_adhesive,anchor
596,search_indices,anchor
597,sectional_layer,anchor
598,secure_to_guard,anchor
599,seeded,anchor
600,select_unit,anchor
601,selected_box,anchor
602,selected_operation,anchor
603,selection_logic,anchor
604,selectively_predetermined,anchor
605,self_resonance_frequency,anchor
606,send_to_control_node,anchor
607,sensitive_photographic,anchor
608,sequence_conservation,anchor
609,service_processing_unit,anchor
610,shannon,anchor
611,shape_like_tail,anchor
612,shaped_engaging,anchor
613,shaped_substrates,anchor
614,sheet_supply_roller,anchor
615,shielded_conductor,anchor
616,shift_link,anchor
617,show_in_chemical_formula,anchor
618,shunt_reactor,anchor
619,signal_generating_compound,anchor
620,signal_sender,anchor
621,silicide_formation,anchor
622,siloxane_based,anchor
623,similar_absorbent,anchor
624,single_pumping_chamber,anchor
625,sleeve_upper,anchor
626,slip_segment,anchor
627,slot_open,anchor
628,smooth_outer_surface,anchor
629,soft_polymeric,anchor
630,solder_member,anchor
631,source_channel,anchor
632,source_voltage,anchor
633,speed_control_means,anchor
634,speed_impeller,anchor
635,sphygmomanometer,anchor
636,split_into_flows,anchor
637,spoke_wheels,anchor
638,sprayed,anchor
639,spreader_body,anchor
640,square_lattice,anchor
641,stability_function,anchor
642,stabilizer_members,anchor
643,starch_component,anchor
644,stationary_rod,anchor
645,steering_matrices,anchor
646,stepped_pin,anchor
647,storage_lid,anchor
648,strand_conveyor,anchor
649,substantially_axial,anchor
650,substituted_carboxylic,anchor
651,sulfide_sulfur,anchor
652,summits,anchor
653,sun_member,anchor
654,superior_abrasion,anchor
655,support_grooves,anchor
656,surface_altering_agent,anchor
657,surgical_gloves,anchor
658,sustained_delivery,anchor
659,switch_swm,anchor
660,synthetic_training,anchor
661,tap_portion,anchor
662,target_pointer,anchor
663,terephthalate_polyester,anchor
664,tetracene,anchor
665,therapeutic_applications,anchor
666,therapeutic_immune,anchor
667,time_digital_signal,anchor
668,time_domain_equalization,anchor
669,toolpaths,anchor
670,tooth_spaces,anchor
671,top_surface_member,anchor
672,track_temperature,anchor
673,transfer_onto_substrate,anchor
674,transistor_m6,anchor
675,transition_member,anchor
676,transmit_alarm,anchor
677,transmit_over_interface,anchor
678,transmit_to_platform,anchor
679,transparent_liquid_crystal_display,anchor
680,transport_from_layer,anchor
681,travele_in_direction,anchor
682,treatment_programs,anchor
683,triethylammonium_salt,anchor
684,trommel_screen,anchor
685,tsr,anchor
686,tubular_billet,anchor
687,tubular_latch,anchor
688,tunneling_capacitor,anchor
689,turbine_machine,anchor
690,type_parameter,anchor
691,undulation,anchor
692,unit_inlet,anchor
693,update_test_cases,anchor
694,upper_clamp_arm,anchor
695,upper_series,anchor
696,use_as_cooling_fluid,anchor
697,use_balance,anchor
698,use_in_positioning,anchor
699,use_physically_unclonable_functions,anchor
700,use_solid_materials,anchor
701,use_voltage_converter,anchor
702,useful_metal,anchor
703,vacuum_cups,anchor
704,val_ile,anchor
705,vco_circuit,anchor
706,vegfr2,anchor
707,verifiable,anchor
708,vertical_chute,anchor
709,vertical_comb,anchor
710,vibratory_actuator,anchor
711,video_light,anchor
712,video_lines,anchor
713,voltage_patterns,anchor
714,voltage_values,anchor
715,wafer_inspection_system,anchor
716,wake_up_procedures,anchor
717,walking_aids,anchor
718,walnut_oil,anchor
719,water_infiltration,anchor
720,water_intake,anchor
721,water_product,anchor
722,water_propeller,anchor
723,water_propulsion_device,anchor
724,wave_generation,anchor
725,wearability,anchor
726,web_transfer,anchor
727,wedge_device,anchor
728,weldability,anchor
729,well_pump,anchor
730,whose_identity,anchor
731,wire_grid_polarization,anchor
732,wiring_trough,anchor
733,wood_article,anchor
734,abatement_of_pollution,target
735,act_of_abating,target
736,active_catalyst,target
737,eliminating_process,target
738,forest_region,target
739,greenhouse_gases,target
740,increased_rate,target
741,measurement_level,target
742,minimising_sounds,target
743,mixing_core_materials,target
744,multi_pollution_abatement_device,target
745,noise_reduction,target
746,pollution_abatement,target
747,pollution_abatement_incinerator,target
748,pollution_certificate,target
749,rent_abatement,target
750,sorbent_material,target
751,source_items_pollution_abatement_technology,target
752,stone_abutments,target
753,tax_abatement,target
754,water_bodies,target
755,emission_abatement,target
756,prevention,target
757,prophylaxis,target
758,abatement_apparatus,target
759,treatment,target
760,abating,target
761,central_hub,target
762,control_panel,target
763,deficiency,target
764,diminished_chord,target
765,diminished_image,target
766,diminishing,target
767,eliminating,target
768,eliminating_emissions,target
769,eliminating_pollutants,target
770,increasing,target
771,increasing_order,target
772,mitigation,target
773,pollution_control,target
774,processing_unit,target
775,removing_air_pollutants,target
776,subsiding,target
777,treating_emissions,target
778,noise_abatement,target
779,abnormal_position_data,target
780,attitude,target
781,closed_position_shown,target
782,condition_illustrated,target
783,condition_shown,target
784,data,target
785,information,target
786,inoperative_condition,target
787,inoperative_position,target
788,open_as_shown,target
789,open_condition,target
790,open_position,target
791,open_position_illustrated,target
792,open_position_shown,target
793,orientation,target
794,position_illustrated,target
795,position_shown,target
796,tip_data,target
797,tip_information,target
798,wear_data,target
799,angular_position,target
800,positions,target
801,abnormal_breathing,target
802,abnormal_manner,target
803,abnormal_placement,target
804,abnormal_posture,target
805,abnormal_profit,target
806,abnormal_side,target
807,anomaly_scan,target
808,depression,target
809,deviated_from,target
810,engagement,target
811,implant_positioning,target
812,irregular_configuration,target
813,locked_position,target
814,locked_relationship,target
815,normal_position,target
816,odd_position,target
817,place,target
818,position,target
819,position_isomerism,target
820,position_vector,target
821,rare_placement,target
822,recess,target
823,relative_position,target
824,relative_relationship,target
825,situation,target
826,unexpected_position,target
827,unison,target
828,unusal_arrangement,target
829,unusual_manner,target
830,abnormal,target
831,abnormal_condition,target
832,abnormal_molar_mass,target
833,abnormal_presentations,target
834,abnormal_psychology,target
835,abnormality_state,target
836,axial_position,target
837,elevation,target
838,emergency_condition,target
839,emergency_position,target
840,extent,target
841,facing_forward,target
842,failure,target
843,fault_position,target
844,fixed_failure,target
845,forward_axis,target
846,hardware_abnormality,target
847,hardware_manufacturer,target
848,leakage,target
849,operating_abnormality,target
850,operative_position,target
851,overflow,target
852,state_name,target
853,unusual_position,target
854,unusual_state,target
855,upper_position,target
856,warning,target
857,adsorbent_properties,target
858,cao,target
859,characterization,target
860,collateral_properties,target
861,colligative_properties,target
862,conformational_properties,target
863,dehumidifying_properties,target
864,elastomeric_properties,target
865,evaporated_salt,target
866,fluorescent_properties,target
867,geometrical_properties,target
868,housing_properties,target
869,hygroscopic,target
870,hygroscopic_properties,target
871,ionic_compound,target
872,liquid_holding_capacity,target
873,mechanical_characteristics,target
874,mechanical_properties,target
875,moisture_barrier_properties,target
876,moisture_proof_properties,target
877,nacl,target
878,naoh,target
879,physical_properties,target
880,properties,target
881,reusable_salt,target
882,soaking_properties,target
883,absorbency,target
884,absorbent_characteristics,target
885,absorbing_polymer,target
886,absorption_characteristics,target
887,absorption_properties,target
888,adsorption_performance,target
889,capable_of_absorbing,target
890,characteristic,target
891,desiccant,target
892,dielectric_properties,target
893,food_absorption,target
894,mechanical_resistance,target
895,metal_properties,target
896,moisture,target
897,optical_properties,target
898,performance,target
899,physical_resistance,target
900,physiological_properties,target
901,plastic_properties,target
902,polymer,target
903,samples,target
904,soaking,target
905,sponge,target
906,water,target
907,water_penetration_capacity,target
908,amount,target
909,formation,target
910,strength,target
911,aggrecan_core_protein,target
912,aggrecan_core_protein_precursor,target
913,cartilage_extracellular_matrix,target
914,cartilage_specific_proteoglycan_core_protein,target
915,chondroitin_sulfate_proteoglycan_1,target
916,coding_language,target
917,coding_languages,target
918,coding_programming,target
919,core_strength,target
920,gene,target
921,genes,target
922,hyalectans,target
923,large_aggregating_proteoglycan,target
924,lecticans,target
925,machine_learning,target
926,neural_network,target
927,precursor,target
928,protein,target
929,protein_coding_gene,target
930,proteins,target
931,proteoglycans,target
932,sox,target
933,tissue_expression,target
934,accept_the_establishment,target
935,accept_this_information,target
936,acceptance_angle,target
937,accepting_information_from,target
938,approve_information,target
939,authorization_of_information,target
940,behaviour_information_analysis,target
941,contain_information,target
942,contain_items,target
943,data_accepted,target
944,data_set,target
945,display,target
946,display_a_data,target
947,display_a_information,target
948,display_an_information,target
949,display_data,target
950,display_information,target
951,indicate_a_data,target
952,indicate_data,target
953,indicate_information,target
954,informal_letter,target
955,information_data,target
956,information_processing_apparatus,target
957,information_storage,target
958,information_value,target
959,price_he_or_she_accepts,target
960,receiving_information,target
961,sanction_information,target
962,third_option_to_accept,target
963,transaction_information,target
964,undertake_information,target
965,achieve_access,target
966,achieve_authentication_accuracy,target
967,achieve_authorization,target
968,achieve_goal,target
969,achieve_goals,target
970,achieve_local_authentication,target
971,achieve_mutual_authentication,target
972,achieve_success,target
973,achieve_target,target
974,achieve_the_authentication_requirement,target
975,achieve_verification,target
976,biometric,target
977,denial_of_authorization,target
978,denied_access,target
979,encryption,target
980,failed_authorization_request,target
981,login,target
982,multi_factor_authentication,target
983,signature,target
984,target_achieved,target
985,vehicle_verification,target
986,absorbent_cotton,target
987,absorption_spectrum,target
988,acid,target
989,acid_absorption_column,target
990,acid_absorption_tower,target
991,acid_digestion,target
992,acid_distillation,target
993,acid_recovery,target
994,acid_stripping,target
995,acid_wash,target
996,acid_wash_distillation,target
997,acid_water_distillation,target
998,acid_water_wash,target
999,acrylic_acid_absorption,target
1000,amino_acids,target
1001,catalytic_hydrogenation,target
1002,catalytic_oxidation,target
1003,chemical_analysis,target
1004,chemical_inhibition,target
1005,h2so4_absorption,target
1006,hydro_catalytic_hydrogenation,target
1007,hydro_catalytic_oxidation,target
1008,hydrochloric_acid_absorption,target
1009,hydroformylation,target
1010,hydrogenation,target
1011,hydroxycarboxylicacid_absorption,target
1012,membrane_catalytic_hydrogenation,target
1013,membrane_catalytic_oxidation,target
1014,membrane_hydrogenation,target
1015,membrane_oxidation,target
1016,near_infrared_ray_absorption,target
1017,nitric_acid_absorption,target
1018,oxidation,target
1019,oxidative_hydrogenation,target
1020,oxide,target
1021,oxide_distillation,target
1022,oxide_recovery,target
1023,oxide_stripping,target
1024,oxide_wash,target
1025,photon_absorption,target
1026,photosynthesis,target
1027,phytic_acid,target
1028,rosmarinic_acid,target
1029,sulfuric_acid,target
1030,transdermal_absorption,target
1031,absorption_of_acid,target
1032,absorption_of_carbohydrates,target
1033,absorption_tower,target
1034,acid_absorption,target
1035,acid_adsorption,target
1036,acid_exchange,target
1037,acid_gas_distillation,target
1038,acid_gas_exchange,target
1039,acid_gas_scrubbing,target
1040,acid_immersion,target
1041,acid_indigestion,target
1042,acid_oxide_distillation,target
1043,acid_oxide_scrubbing,target
1044,acid_purification,target
1045,acid_rain,target
1046,acid_reflux,target
1047,acid_scrubbing,target
1048,acid_water,target
1049,acid_water_exchange,target
1050,acidic_foods,target
1051,acidic_immersion,target
1052,amino_acid_absorption,target
1053,chemical_absorption,target
1054,chemically_soaked,target
1055,fertilizer_absorption,target
1056,hcl_acid_absorption,target
1057,multi_section_connection_pipe,target
1058,oxide_acid_distillation,target
1059,oxide_acid_exchange,target
1060,oxide_exchange,target
1061,oxide_gas_distillation,target
1062,oxide_gas_exchange,target
1063,oxide_gas_scrubbing,target
1064,oxide_purification,target
1065,oxide_scrubbing,target
1066,oxide_water,target
1067,oxide_water_distillation,target
1068,oxide_water_exchange,target
1069,soil_water_absorption,target
1070,spray_washing_bottle_body,target
1071,steel_structural_member_cleaning_maintenance_device,target
1072,acknowledgement,target
1073,communication_protocol,target
1074,data_network,target
1075,data_networks,target
1076,flad_holder_pole,target
1077,flag,target
1078,flag_hoist,target
1079,frame,target
1080,header,target
1081,indications_of_cystoscopy,target
1082,indicative_device,target
1083,indicative_message,target
1084,indicator,target
1085,message,target
1086,message_ringtone,target
1087,red_signal,target
1088,signal,target
1089,telecommunication,target
1090,acknowledge,target
1091,address_id,target
1092,bus_acknowledge,target
1093,bus_acknowledgement,target
1094,busy_acknowledge,target
